B1;B4;B7;B10;B13;B16;B19;B22;B25;B28;B31
;Micrite;;Tabulate Coral;Micrite;Micrite;;Micrite;;Microbe;Bryozoan
;Sparite;;Tabulate Coral;Bryozoan;Micrite;;Micrite;;Bryozoan;
;Sparite;;Brachiopod;Micrite;Micrite;;Micrite;;Microbe;Micrite
;Bryozoan;;;Bryozoan;Micrite;;Micrite;;Microbe;Micrite
Sparite;Bryozoan;;;Bryozoan;Micrite;;Micrite;;Microbe;
Micrite;Brachiopod;;;Micrite;Micrite;;?;;Microbe;
?;Sparite;;;Crinoid;;;Micrite;;Microbe;
Bryozoan;Micrite;;;Micrite;;;Micrite;;Microbe;
Tabulate Coral;Micrite;;;Micrite;;;Micrite;;Microbe;
Micrite;;;;Micrite;;;Micrite;;Microbe;
Echinoderm;;;;Bryozoan;;;?;;Microbe;
Micrite;;;;Micrite;;;Crinoid;;Microbe;
Micrite;;;;;;;Micrite;;;
Sparite;;;;;;;Micrite;;;
;;;;;;;Micrite;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;Rugose Coral;Brachiopod;Sparite;;;;;;;
;Sparite;Pyrite;Sparite;Micrite;;;;Microbe;;
;?;Echinoderm;Crinoid;Micrite;;;;Tabulate Coral;;
;Crinoid;Sparite;Rostroconch_Oncoid;Bryozoan;;;;Tabulate Coral;;?
;Crinoid;Sparite;Echinoderm;Bryozoan;;;Stromatoporoid;Tabulate Coral;;Micrite
;?;Sparite;Sparite;Micrite;;;Stromatoporoid;Microbe;;Micrite
;Bryozoan;Brachiopod;Sparite;Sparite;;Bryozoan;Stromatoporoid;Bryozoan;;Bryozoan
;Crinoid;Crinoid;Crinoid;Bryozoan;Micrite;Microbe;Stromatoporoid;Bryozoan;;Micrite
;Sparite;Micrite;Crinoid;Brachiopod;Micrite;Micrite;Stromatoporoid;Microbe;;Crinoid
;Crinoid;?;Sparite;Micrite;Micrite;Brachiopod;Stromatoporoid;Microbe;;Crinoid
;Bryozoan;Bryozoan;Sparite;?;Micrite;Microbe;Stromatoporoid;Microbe;;Crinoid
;Sparite;Tabulate Coral;Trilobite;Tabulate Coral;Crinoid;Echinoderm;Stromatoporoid;Bryozoan;;Micrite
;Tabulate Coral;Micrite;Tabulate Coral;Crinoid;Micrite;;Stromatoporoid;Microbe;;Bryozoan
;Micrite;Crinoid;?;Crinoid;Tabulate Coral_Oncoid;;Stromatoporoid;?;;Crinoid
;Micrite;Tabulate Coral;Micrite;Crinoid;Tabulate Coral_Oncoid;;Stromatoporoid;Micrite;;Crinoid
