B1;B4;B7;B10;B13;B16;B19;B22;B25;B28;B31
Micrite;Crinoid;Sparite;;Micrite;Micrite;;Stromatoporoid;;Microbe;Stromatoporoid
Micrite;Micrite;;;Crinoid;;;Stromatoporoid;;Microbe;Ostracod
Micrite;;;;Microbe;;;Stromatoporoid;;Microbe;?
Brachiopod;;;;?;;;Stromatoporoid;;Microbe;Micrite
Mollusc;;;;Micrite;;;Stromatoporoid;;Microbe;Stromatoporoid
Echinoderm;;;;Micrite;;;;;Microbe;Stromatoporoid
Micrite;;;;Micrite;;;;;Microbe;
Micrite;;;;Sparite;;;;;;
Micrite;;;;Brachiopod;;;;;;
;;;;Crinoid;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;Micrite;Sparite;;Brachiopod;Microbe;Microbe;;Microbe;;
;Micrite;Sparite;;Brachiopod;Microbe;Microbe;;Microbe;;
;Crinoid;Sparite;;Brachiopod;Sparite;Micrite;Micrite;Microbe;;Stromatoporoid
;Micrite;Tabulate Coral;;Micrite;Microbe;Microbe;Micrite;Microbe;;Stromatoporoid
;Sparite;Sparite;;Micrite;Micrite;Microbe;?;Microbe;;Stromatoporoid
;?;Sparite;;Micrite;Micrite;Micrite;Micrite;Microbe;Microbe;Micrite
;Sparite;Pyrite;Crinoid;Micrite;Micrite;Brachiopod;Bryozoan;Microbe;?;Stromatoporoid
;Brachiopod;Sparite;Tabulate Coral;Bryozoan;Tabulate Coral_Oncoid;Microbe;Bryozoan;Tabulate Coral;Bryozoan;Stromatoporoid
;Echinoderm;Sparite;Ostracod;Micrite;Tabulate Coral_Oncoid;Microbe;Tabulate Coral;Bryozoan;Allonema;Stromatoporoid
;Sparite;?;Micrite;Micrite;Tabulate Coral_Oncoid;Microbe;Microbe;Bryozoan;Microbe;Sparite
;Sparite;Micrite;Sparite;Micrite;Tabulate Coral_Oncoid;Tabulate Coral;Microbe;Microbe;Microbe;Micrite
;Tabulate Coral;Brachiopod;Sparite;Micrite;?;Brachiopod;Microbe;Tabulate Coral;Microbe;Stromatoporoid
;Sparite;Crinoid;Micrite;Micrite;Brachiopod;Microbe;Microbe;Microbe;Microbe;Stromatoporoid
;Sparite;Brachiopod;Brachiopod;Brachiopod;Brachiopod;Sparite;Microbe;Micrite;Microbe;Stromatoporoid
;Sparite;Sparite;Micrite;Brachiopod;Tabulate Coral_Oncoid;Microbe;Brachiopod;Microbe;Microbe;Stromatoporoid
;Micrite;Crinoid;Micrite;Brachiopod;Tabulate Coral_Oncoid;Microbe;Microbe;Microbe;Microbe;Stromatoporoid
Micrite;Sparite;Crinoid;Bryozoan;Sparite;Crinoid;;Microbe;Microbe;Microbe;Sparite
Bryozoan;Crinoid;Sparite;Micrite;Sparite;Tabulate Coral_Oncoid;;Microbe;Microbe;Allonema;Stromatoporoid
Sparite;Crinoid;Sparite;Micrite;Micrite;Tabulate Coral_Oncoid;;Microbe;Microbe;Microbe;Stromatoporoid
Trilobite;Bryozoan;Sparite;Micrite;Micrite;Tabulate Coral_Oncoid;;Stromatoporoid;Microbe;Microbe;Stromatoporoid
Micrite;?;Micrite;Brachiopod;Crinoid;Tabulate Coral_Oncoid;;Stromatoporoid;Microbe;Microbe;?
Micrite;Sparite;Brachiopod;Brachiopod;Crinoid;Tabulate Coral_Oncoid;;Stromatoporoid;Microbe;Microbe;?
Micrite;Sparite;Micrite;?;Sparite;Tabulate Coral_Oncoid;;Stromatoporoid;Microbe;Microbe;Micrite
Micrite;Bryozoan;Sparite;Micrite;?;?;;Stromatoporoid;Microbe;Microbe;Micrite
Micrite;Micrite;Sparite;Micrite;Bryozoan;Micrite;;Stromatoporoid;Microbe;Microbe;Micrite
Gastropod;Sparite;;Micrite;Crinoid;Micrite;;Stromatoporoid;Microbe;Bryozoan;Stromatoporoid
Micrite;Sparite;;;Micrite;;;Stromatoporoid;Microbe;Allonema;Micrite
Micrite;;;;Micrite;;;Stromatoporoid;Microbe;Microbe;?
Micrite;;;;Micrite;;;Stromatoporoid;Microbe;Microbe;Micrite
Brachiopod;;;;Micrite;;;Tabulate Coral;;Microbe;Stromatoporoid
Micrite;;;;Crinoid;;;;;Microbe;Stromatoporoid
Brachiopod;;;;Brachiopod;;;;;Microbe;Stromatoporoid
Micrite;;;;Micrite;;;;;Microbe;
Micrite;;;;Micrite;;;;;;
Micrite;;;;Micrite;;;;;;
;;;;Tabulate Coral;;;;;;
;;;;Micrite;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;Microbe;;;;;
;Micrite;Sparite;;Brachiopod;Microbe;Echinoderm;;;;
;Crinoid;Micrite;;Brachiopod;Microbe;?;;Microbe;Micrite;
;Crinoid;Sparite;;Brachiopod;Microbe;Brachiopod;;Microbe;?;Stromatoporoid
;Sparite;Crinoid;;Micrite;Microbe;Crinoid;;Microbe;Microbe;Stromatoporoid
;Micrite;Sparite;;Tabulate Coral;Micrite;Bryozoan;?;Microbe;Microbe;Stromatoporoid
;Brachiopod;Pyrite;;Echinoderm;Micrite;Crinoid;?;Microbe;?;Stromatoporoid
;Sparite;Sparite;;Echinoderm;Micrite;Brachiopod;Bryozoan;Microbe;Microbe;Stromatoporoid
;Sparite;?;;Micrite;Tabulate Coral_Oncoid;Brachiopod;Bryozoan;Microbe;Microbe;Stromatoporoid
;Echinoderm;Echinoderm;Micrite;Bryozoan;Tabulate Coral_Oncoid;Micrite;Tabulate Coral;Tabulate Coral;Rothpletzella;Stromatoporoid
;?;Sparite;Micrite;Micrite;Tabulate Coral_Oncoid;Microbe;Microbe;Microbe;Microbe;Stromatoporoid
;Micrite;Crinoid;Micrite;Micrite;Allonema_Oncoid;Microbe;Microbe;Microbe;Microbe;Stromatoporoid
;Microbe;?;Sparite;Crinoid;Micrite;Bryozoan;Microbe;Microbe;Microbe;Stromatoporoid
;Micrite;Echinoderm;Micrite;Crinoid;Brachiopod;Microbe;Microbe;Microbe;Microbe;Stromatoporoid
;Micrite;Crinoid;?;Crinoid;Micrite;Sparite;Microbe;Microbe;Microbe;Stromatoporoid
;Microbe;Sparite;Bryozoan;Brachiopod;Tabulate Coral_Oncoid;Brachiopod;Microbe;Microbe;Microbe;Stromatoporoid
;Sparite;Brachiopod;Trilobite;Brachiopod;Allonema_Oncoid;?;Microbe;Microbe;Microbe;Stromatoporoid
Micrite;Micrite;Sparite;Sparite;Brachiopod;Micrite;;Tabulate Coral;Microbe;Microbe;Sparite
Brachiopod;Sparite;Sparite;Sparite;Bryozoan;Tabulate Coral_Oncoid;;?;Microbe;Microbe;Stromatoporoid
Micrite;Sparite;Crinoid;Sparite;Micrite;Tabulate Coral_Oncoid;;Microbe;Microbe;Microbe;Micrite
Brachiopod;Micrite;?;Micrite;Echinoderm;Tabulate Coral_Oncoid;;Stromatoporoid;Microbe;Microbe;Micrite
Micrite;Bryozoan;Sparite;Micrite;Echinoderm;Tabulate Coral_Oncoid;;Stromatoporoid;Microbe;Sparite;Stromatoporoid
Micrite;Bryozoan;Sparite;Micrite;Sparite;Micrite;;Stromatoporoid;Microbe;Microbe;Stromatoporoid
Green Algae;Sparite;Micrite;Echinoderm;Micrite;Micrite;;Stromatoporoid;Microbe;Microbe;?
Bryozoan;Sparite;Sparite;Micrite;Brachiopod;Micrite;;Stromatoporoid;Microbe;Microbe;Micrite
Echinoderm;Brachiopod;Brachiopod;Micrite;Micrite;Micrite;;Stromatoporoid;Microbe;Microbe;Micrite
Micrite;Tabulate Coral;;Micrite;Micrite;Micrite;;Stromatoporoid;Microbe;Microbe;Stromatoporoid
Micrite;Tabulate Coral;;;Echinoderm;;;Stromatoporoid;Microbe;Microbe;Stromatoporoid
Sparite;;;;Micrite;;;Stromatoporoid;Microbe;Microbe;Stromatoporoid
Ostracod;;;;?;;;Tabulate Coral;Microbe;Microbe;Stromatoporoid
Micrite;;;;Micrite;;;Tabulate Coral;;Microbe;Stromatoporoid
Brachiopod;;;;Bryozoan;;;;;Microbe;Stromatoporoid
Micrite;;;;Bryozoan;;;;;Microbe;Stromatoporoid
Micrite;;;;;;;;;Microbe;Stromatoporoid
Micrite;;;;;;;;;;Stromatoporoid
;;;;;;;;;;Stromatoporoid
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;Microbe;;;;;
;Micrite;Sparite;;Brachiopod;Microbe;Microbe;;Microbe;Microbe;
;Sparite;Bryozoan;;Micrite;Micrite;Microbe;;Microbe;Microbe;
;Crinoid;Sparite;;Micrite;Microbe;Microbe;;Microbe;Microbe;Stromatoporoid
;Micrite;Sparite;;Sparite;Microbe;Bryozoan;;Microbe;Microbe;Stromatoporoid
;?;Sparite;;Sparite;Crinoid;Bryozoan;;Microbe;Bryozoan;Stromatoporoid
;Sparite;Sparite;;Sparite;Bryozoan_Oncoid;Microbe;;Microbe;Microbe;Stromatoporoid
;Crinoid;Sparite;;Micrite;Bryozoan_Oncoid;Micrite;Microbe;Microbe;Microbe;Stromatoporoid
;Brachiopod;Sparite;;Micrite;Sparite;Microbe;?;Microbe;Rothpletzella;Stromatoporoid
;Sparite;Micrite;Tabulate Coral;Echinoderm;Tabulate Coral_Oncoid;Microbe;Tabulate Coral;Microbe;Microbe;Stromatoporoid
;Sparite;Brachiopod;Tabulate Coral;Micrite;Tabulate Coral_Oncoid;Microbe;Microbe;Tabulate Coral;Microbe;Stromatoporoid
;Micrite;?;Sparite;Micrite;Allonema_Oncoid;Bryozoan;Microbe;Microbe;Microbe;Stromatoporoid
;Microbe;Bryozoan;Sparite;Micrite;Micrite;Micrite;?;Microbe;Rothpletzella;Stromatoporoid
;Sparite;Sparite;Microbe;Micrite;Micrite;Microbe;Microbe;Microbe;Rothpletzella;Stromatoporoid
;Bryozoan;?;Microbe;Micrite;Micrite;Microbe;Microbe;Microbe;Microbe;Stromatoporoid
;Micrite;Sparite;Sparite;Crinoid;Tabulate Coral_Oncoid;Brachiopod;Microbe;Microbe;Microbe;Sparite
Brachiopod;Micrite;Brachiopod;Micrite;Brachiopod;Micrite;Crinoid;Microbe;Microbe;Microbe;Sparite
Micrite;Bryozoan;Echinoderm;Sparite;Brachiopod;Bryozoan_Oncoid;Micrite;Tabulate Coral;Microbe;Microbe;Sparite
Micrite;Bryozoan;Brachiopod;Bryozoan;?;Tabulate Coral_Oncoid;;Microbe;Microbe;Microbe;Micrite
Brachiopod;Sparite;Brachiopod;?;Echinoderm;Tabulate Coral_Oncoid;;Microbe;Microbe;Microbe;?
Micrite;Bryozoan;Sparite;Bryozoan;Micrite;Tabulate Coral_Oncoid;;Stromatoporoid;Microbe;Microbe;Crinoid
Micrite;Sparite;Sparite;Micrite;Micrite;Micrite;;Stromatoporoid;Microbe;Microbe;Sparite
Micrite;Crinoid;Brachiopod;Sparite;Bryozoan;Micrite;;Stromatoporoid;Microbe;Microbe;Stromatoporoid
Green Algae;Micrite;Crinoid;Sparite;Crinoid;Tabulate Coral_Oncoid;;Stromatoporoid;?;Microbe;Stromatoporoid
Sparite;Micrite;?;Crinoid;Brachiopod;Tabulate Coral_Oncoid;;Stromatoporoid;Microbe;Sparite;Stromatoporoid
Sparite;Crinoid;Microbe;Sparite;Brachiopod;Micrite;;Stromatoporoid;Microbe;Microbe;Stromatoporoid
Micrite;Micrite;;Micrite;Micrite;Crinoid;;Stromatoporoid;Microbe;Microbe;Stromatoporoid
Micrite;Sparite;;;Brachiopod;;;Stromatoporoid;Microbe;Microbe;Stromatoporoid
Micrite;;;;Micrite;;;Stromatoporoid;Bryozoan;Sparite;Stromatoporoid
Micrite;;;;;;;Tabulate Coral;Microbe;Bryozoan;Stromatoporoid
Sparite;;;;;;;Tabulate Coral;Microbe;Microbe;Stromatoporoid
Sparite;;;;;;;;Microbe;Microbe;Stromatoporoid
Brachiopod;;;;;;;;;Microbe;Stromatoporoid
Pyrite;;;;;;;;;Microbe;Stromatoporoid
Micrite;;;;;;;;;;Stromatoporoid
Micrite;;;;;;;;;;Stromatoporoid
;;;;;;;;;;Stromatoporoid
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;Micrite;Sparite;;Micrite;Tabulate Coral;;;Microbe;Microbe;
;Tabulate Coral;Pyrite;;Micrite;Tabulate Coral;Microbe;;Microbe;Microbe;
;Sparite;Sparite;;Bryozoan;Tabulate Coral;Micrite;;Microbe;Microbe;Stromatoporoid
;Sparite;Sparite;;Crinoid;Microbe;Micrite;;Microbe;Microbe;Stromatoporoid
;Brachiopod;Sparite;;Micrite;Microbe;Bryozoan;;Microbe;Microbe;Stromatoporoid
;Micrite;Sparite;;Micrite;Microbe;Bryozoan;;Microbe;Microbe;Stromatoporoid
;Crinoid;Sparite;;Micrite;Micrite;Micrite;?;Microbe;Microbe;Stromatoporoid
;Sparite;Sparite;;Micrite;Bryozoan;Microbe;?;Brachiopod;Microbe;Micrite
;Sparite;Brachiopod;;Micrite;Tabulate Coral_Oncoid;Microbe;Tabulate Coral;Microbe;Microbe;Micrite
;Crinoid;Sparite;Sparite;Crinoid;Tabulate Coral_Oncoid;Microbe;Microbe;Bryozoan;Microbe;Micrite
;Micrite;Crinoid;Tabulate Coral;Crinoid;Tabulate Coral_Oncoid;Microbe;?;Tabulate Coral;Rothpletzella;Micrite
;Microbe;Sparite;Micrite;Micrite;Tabulate Coral;Micrite;Microbe;Tabulate Coral;Rothpletzella;Stromatoporoid
;Microbe;Tabulate Coral;Micrite;Micrite;Microbe;Micrite;Microbe;Microbe;Rothpletzella;Stromatoporoid
;Microbe;Sparite;Sparite;Crinoid;Tabulate Coral_Oncoid;Micrite;Microbe;Microbe;Rothpletzella;Stromatoporoid
Micrite;Brachiopod;Crinoid;Sparite;Micrite;Tabulate Coral_Oncoid;Microbe;Crinoid;Microbe;Allonema;Stromatoporoid
Micrite;Tabulate Coral;Trilobite;Stromatoporoid_Oncoid;Micrite;Bryozoan;Micrite;Microbe;Microbe;Microbe;Stromatoporoid
Micrite;Bryozoan;?;Stromatoporoid_Oncoid;Brachiopod;Tabulate Coral_Oncoid;Micrite;Tabulate Coral;Microbe;Allonema;Stromatoporoid
Micrite;Sparite;Sparite;Sparite;Micrite;Tabulate Coral_Oncoid;Crinoid;Crinoid;Microbe;Allonema;?
Micrite;?;Sparite;Sparite;Bryozoan;Tabulate Coral_Oncoid;Crinoid;Microbe;Microbe;Microbe;?
Brachiopod;Bryozoan;Sparite;?;Crinoid;Micrite;;Stromatoporoid;Microbe;Microbe;Crinoid
Sparite;Bryozoan;?;Bryozoan;Crinoid;Crinoid;;Stromatoporoid;Microbe;Microbe;Micrite
Brachiopod;Bryozoan;Sparite;Micrite;Micrite;Crinoid;;Stromatoporoid;Microbe;Microbe;Micrite
Micrite;Brachiopod;Crinoid;?;Sparite;Tabulate Coral_Oncoid;;Stromatoporoid;Microbe;Microbe;Sparite
Micrite;?;Bryozoan;Micrite;Brachiopod;Tabulate Coral_Oncoid;;Stromatoporoid;Microbe;Microbe;Stromatoporoid
Brachiopod;Brachiopod;Sparite;Bryozoan;Micrite;Sparite;;Stromatoporoid;Microbe;Microbe;Micrite
Sparite;Sparite;;Micrite;Micrite;Micrite;;Stromatoporoid;Microbe;Microbe;Stromatoporoid
Gastropod;Micrite;;;Micrite;Micrite;;Microbe;Bryozoan;Microbe;Stromatoporoid
Micrite;;;;;Bryozoan;;Tabulate Coral;Bryozoan;Microbe;Stromatoporoid
Stromatoporoid;;;;;;;Tabulate Coral;Bryozoan;Microbe;Sparite
Sparite;;;;;;;Tabulate Coral;Microbe;Microbe;Stromatoporoid
Micrite;;;;;;;;Microbe;Microbe;Stromatoporoid
Sparite;;;;;;;;Microbe;Microbe;Stromatoporoid
Micrite;;;;;;;;;Microbe;Stromatoporoid
Micrite;;;;;;;;;;Stromatoporoid
Micrite;;;;;;;;;;Stromatoporoid
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;Micrite;Sparite;;Crinoid;;;;Bryozoan;Microbe;
;Bryozoan;Sparite;;Brachiopod;Tabulate Coral;;;Microbe;Microbe;
;Microbe_Oncoid;Sparite;;Micrite;Tabulate Coral;Microbe;;Microbe;Microbe;Stromatoporoid
;Brachiopod;Sparite;;Micrite;Micrite;Bryozoan;;Microbe;Microbe;Stromatoporoid
;Micrite;Sparite;;Crinoid;Microbe;Micrite;;Microbe;Microbe;Stromatoporoid
;;Echinoderm;;Micrite;Microbe;Micrite;;Microbe;Microbe;Stromatoporoid
;Micrite;Sparite;;Micrite;Bryozoan;Microbe;;Microbe;Allonema;Stromatoporoid
;Sparite;Sparite;;Crinoid;Bryozoan;Micrite;Microbe;Microbe;Microbe;Stromatoporoid
;Sparite;Crinoid;;Bryozoan;Sparite;Microbe;?;Microbe;Microbe;Micrite
;Sparite;Sparite;Microbe;Micrite;Allonema;Crinoid;Tabulate Coral;Bryozoan;Microbe;Micrite
;Sparite;Microbe;Bryozoan;Crinoid;Microbe;Microbe;Microbe;Microbe;Microbe;Stromatoporoid
;Microbe;Tabulate Coral;Tabulate Coral;Micrite;Microbe;Microbe;Microbe;Allonema;Microbe;Stromatoporoid
;Bryozoan;Sparite;Tabulate Coral;Sparite;Micrite;Micrite;Microbe;Microbe;Bryozoan;Stromatoporoid
;Bryozoan;Crinoid;Micrite;Tabulate Coral;Tabulate Coral_Oncoid;Bryozoan;Microbe;Microbe;Microbe;Stromatoporoid
;Sparite;Crinoid;Sparite;Tabulate Coral;Microbe;Micrite;Microbe;Microbe;Allonema;Stromatoporoid
Micrite;Microbe;Crinoid;Stromatoporoid_Oncoid;Bryozoan;Sparite;Micrite;Allonema;Microbe;Allonema;Stromatoporoid
Micrite;Sparite;Tabulate Coral;Stromatoporoid_Oncoid;Micrite;Sparite;Micrite;Tabulate Coral;Microbe;Allonema;Stromatoporoid
Micrite;Crinoid;?;Microbe_Oncoid;?;Sparite;Micrite;Microbe;Microbe;Allonema;?
Micrite;?;Echinoderm;Sparite;Micrite;Microbe;Micrite;Microbe;Microbe;Microbe;Micrite
Micrite;Micrite;Sparite;Micrite;Echinoderm;Microbe;;Microbe;Microbe;Microbe;?
Brachiopod;Sparite;Sparite;Sparite;Sparite;Bryozoan;;Microbe;Microbe;Microbe;Micrite
Micrite;Crinoid;Sparite;Micrite;Micrite;Microbe;;Stromatoporoid;Microbe;Microbe;Bryozoan
Brachiopod;Brachiopod;Sparite;Micrite;Crinoid;Sparite;;Stromatoporoid;Microbe;Microbe;Bryozoan
Micrite;Sparite;Bryozoan;Micrite;Crinoid;Tabulate Coral_Oncoid;;Stromatoporoid;Microbe;Microbe;Stromatoporoid
Sparite;Bryozoan;Sparite;Micrite;Micrite;Tabulate Coral_Oncoid;;Microbe;Microbe;Microbe;Stromatoporoid
Micrite;Microbe;Sparite;Sparite;Micrite;Sparite;;Allonema;Bryozoan;Microbe;Stromatoporoid
Bryozoan;Micrite;;;;Microbe;;Tabulate Coral;Bryozoan;Microbe;Stromatoporoid
Micrite;;;;;Micrite;;Tabulate Coral;Bryozoan;Sparite;Stromatoporoid
Stromatoporoid;;;;;Bryozoan;;Tabulate Coral;Bryozoan;Microbe;Stromatoporoid
Sparite;;;;;;;;Sparite;Microbe;Stromatoporoid
Brachiopod;;;;;;;;Microbe;Microbe;Stromatoporoid
Sparite;;;;;;;;Microbe;Microbe;Stromatoporoid
Brachiopod;;;;;;;;;Microbe;Stromatoporoid
Sparite;;;;;;;;;;Stromatoporoid
Sparite;;;;;;;;;;Stromatoporoid
Micrite;;;;;;;;;;
Micrite;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;Sparite;;Tabulate Coral;;;;Microbe;Microbe;
;Sparite;?;;Micrite;;;;Bryozoan;Allonema;
;Green Algae;Sparite;;;;;;Microbe;Microbe;Stromatoporoid
;Echinoderm;Bryozoan;;;Microbe;;;Microbe;Allonema;Stromatoporoid
;Microbe;Sparite;;Micrite;Microbe;Microbe;;Microbe;Microbe;Stromatoporoid
;;Sparite;;Brachiopod;Microbe;Microbe;;Microbe;Microbe;Stromatoporoid
;;?;;Micrite;Microbe;Microbe;;Microbe;Microbe;Stromatoporoid
;Bryozoan;Sparite;;Bryozoan;Microbe;Sparite;Microbe;Microbe;Microbe;Stromatoporoid
;Crinoid;Sparite;;?;Micrite;Microbe;Microbe;Microbe;Microbe;Stromatoporoid
;Sparite;?;Microbe;Micrite;Bryozoan;Microbe;Tabulate Coral;Microbe;Microbe;Stromatoporoid
;Micrite;Sparite;Tabulate Coral;Micrite;Bryozoan;Microbe;Microbe;Microbe;Allonema;Stromatoporoid
;?;Brachiopod;Microbe;Bryozoan;Micrite;Microbe;Microbe;Microbe;Microbe;Stromatoporoid
;Microbe;Brachiopod;?;Micrite;Tabulate Coral_Oncoid;Tabulate Coral;Microbe;Microbe;Microbe;Stromatoporoid
;Microbe;Brachiopod;Brachiopod;Tabulate Coral;Bryozoan;Tabulate Coral;Microbe;Microbe;Microbe;Sparite
Tabulate Coral;Bryozoan;Brachiopod;Microbe_Oncoid;Micrite;Bryozoan;Tabulate Coral;Microbe;Microbe;Allonema;Sparite
Tabulate Coral;Bryozoan;?;Stromatoporoid_Oncoid;Micrite;Tabulate Coral_Oncoid;Bryozoan;Tabulate Coral;Microbe;Microbe;Stromatoporoid
?;Sparite;Brachiopod;Stromatoporoid_Oncoid;Crinoid;Tabulate Coral_Oncoid;Micrite;Microbe;Microbe;Microbe;Stromatoporoid
Sparite;Sparite;Sparite;Stromatoporoid_Oncoid;Micrite;Microbe_Oncoid;Micrite;Microbe;Microbe;Microbe;Stromatoporoid
Brachiopod;Sparite;Sparite;Sparite;Brachiopod;Microbe ;Brachiopod;Microbe;Microbe;Microbe;Stromatoporoid
Micrite;Micrite;?;Micrite;Crinoid;Microbe ;;Bryozoan;Microbe;Microbe;Stromatoporoid
Micrite;Sparite;Sparite;Micrite;Micrite;Microbe ;;Microbe;Microbe;Microbe;Micrite
Micrite;Bryozoan;Micrite;Micrite;Crinoid;Bryozoan;;Microbe;Microbe;Allonema;Micrite
Micrite;Sparite;Sparite;Micrite;Crinoid;Microbe;;Microbe;Microbe;Bryozoan;Stromatoporoid
Sparite;;Echinoderm;Micrite;Micrite;Crinoid;;Microbe;Microbe;Microbe;Stromatoporoid
Micrite;Micrite;Crinoid;?;Micrite;Tabulate Coral_Oncoid;;Microbe;Ostracod;Microbe;Stromatoporoid
Sparite;;Tabulate Coral;;;Tabulate Coral_Oncoid;;Microbe;Microbe;Microbe;Stromatoporoid
Stromatoporoid;;;;;Tabulate Coral_Oncoid;;Microbe;Sparite;Microbe;Stromatoporoid
Sparite;;;;;Microbe_Oncoid;;Tabulate Coral;Microbe;Microbe;Stromatoporoid
Micrite;;;;;Tabulate Coral_Oncoid;;Tabulate Coral;Microbe;Bryozoan;Stromatoporoid
Micrite;;;;;Tabulate Coral_Oncoid;;Tabulate Coral;Microbe;Microbe;Stromatoporoid
Micrite;;;;;;;;Microbe;Microbe;Stromatoporoid
?;;;;;;;;Microbe;Bryozoan;Stromatoporoid
Echinoderm;;;;;;;;;Microbe;Stromatoporoid
Brachiopod;;;;;;;;;Microbe;Stromatoporoid
;;;;;;;;;Microbe;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;Micrite;;;;;;
;;Sparite;;Micrite;;;;Ostracod;Allonema;
;;Sparite;;;;;;Microbe;Microbe;
;;Sparite;;;;;;Microbe;Allonema;Stromatoporoid
;;Bryozoan;;;;;;Microbe;Allonema;Sparite
;;Tabulate Coral;;;Microbe;;;Microbe;Allonema;Sparite
;;Sparite;;;Microbe;Microbe;;Microbe;Microbe;Stromatoporoid
;;Micrite;;;Microbe;Microbe;;Microbe;Bryozoan;Stromatoporoid
;Micrite;Crinoid;;;Micrite;Bryozoan;;Microbe;Microbe;Stromatoporoid
;Micrite;?;;;Bryozoan;Bryozoan;Microbe;Microbe;Microbe;Stromatoporoid
;Trilobite;Sparite;;;Micrite;Brachiopod;Tabulate Coral;Microbe;Microbe;Stromatoporoid
;Echinoderm;?;Micrite;;Bryozoan;Brachiopod;Micrite;Bryozoan;Microbe;Stromatoporoid
;;Sparite;Sparite;Bryozoan;Micrite;Microbe;Microbe;Microbe;Sparite;Stromatoporoid
;Tabulate Coral;Sparite;Bryozoan;Crinoid;Tabulate Coral_Oncoid;Brachiopod;Microbe;Microbe;Allonema;Sparite
;Micrite;Sparite;Tabulate Coral;Tabulate Coral;?;Micrite;Echinoderm;Microbe;Allonema;Sparite
Tabulate Coral;Sparite;Sparite;Sparite;Crinoid;Micrite;Micrite;Allonema;Microbe;Allonema;Sparite
Tabulate Coral;Sparite;Sparite;Micrite;Micrite;Tabulate Coral_Oncoid;Micrite;Tabulate Coral;Microbe;Allonema;Stromatoporoid
Sparite;Sparite;?;Allonema_Oncoid;Micrite;Tabulate Coral_Oncoid;Crinoid;Microbe;Microbe;Allonema;Sparite
Micrite;;Tabulate Coral;Stromatoporoid_Oncoid;Brachiopod;Microbe;Brachiopod;Microbe;Microbe;Allonema;Stromatoporoid
Micrite;;Micrite;Stromatoporoid_Oncoid;Micrite;Microbe;Micrite;Microbe;Microbe;Allonema;Stromatoporoid
Micrite;;Bryozoan;Microbe_Oncoid;Tabulate Coral;Microbe;;Microbe;Microbe;Microbe;Stromatoporoid
Micrite;;Sparite;Sparite;Micrite;Microbe;;Microbe;Microbe;Microbe;Stromatoporoid
Micrite;;Sparite;Sparite;Crinoid;Microbe;;Microbe;Microbe;Bryozoan;Stromatoporoid
Micrite;;?;Sparite;Crinoid;Microbe;;Microbe;Microbe;Microbe;Stromatoporoid
Micrite;;Crinoid;Micrite;Tabulate Coral;Crinoid;;Microbe;Ostracod;Microbe;Stromatoporoid
Sparite;;Sparite;Micrite;Micrite;Microbe;;Microbe;Microbe;Microbe;Stromatoporoid
Sparite;;;Sparite;;Tabulate Coral_Oncoid;;Microbe;Microbe;Microbe;Stromatoporoid
Micrite;;;;;Tabulate Coral_Oncoid;;Microbe;Pentameride Brachiopod;Microbe;Stromatoporoid
Crinoid;;;;;Tabulate Coral_Oncoid;;Tabulate Coral;Bryozoan;Microbe;Stromatoporoid
Micrite;;;;;Tabulate Coral_Oncoid;;Tabulate Coral;Microbe;Microbe;Stromatoporoid
Sparite;;;;;;;Tabulate Coral;Microbe;Microbe;Micrite
Sparite;;;;;;;;Microbe;Microbe;Micrite
?;;;;;;;;Microbe;Microbe;Rothpletzella
Sparite;;;;;;;;;Microbe;
Micrite;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;Sparite;;;;;;;Allonema;
;;Crinoid;;;;;;Microbe;Bryozoan;
;;Sparite;;;;;;Microbe;Allonema;Sparite
;;Microbe_Oncoid;;;;;;Microbe;Microbe;Sparite
;;Tabulate Coral_Oncoid;;;;;;Microbe;Bryozoan;Sparite
;;Tabulate Coral_Oncoid;;;;;;Microbe;Microbe;Sparite
;;Sparite;;;Microbe;Microbe;;Microbe;Microbe;Sparite
;;?;;;Microbe;Microbe;;Bryozoan;Microbe;Sparite
;;Sparite;;;Microbe;Microbe;;Microbe;Bryozoan;Stromatoporoid
;;Brachiopod;;;Bryozoan;Microbe;Micrite;Bryozoan;Microbe;Stromatoporoid
