"Sample_ID";"Height_cm";"Delta13C";"Sum";"Micrite";"Spar";"biogenic";"Others";"Non_Identified"
"B1";0;0;571;269;110;177;1;14
"B4";0;0;377;80;114;163;0;20
"B7";0;0;673;129;237;257;7;43
"B10";0;0;453;123;111;183;0;36
"B13";0;0;461;184;36;230;0;11
"B16";0;0;454;107;11;324;0;12
"B19";0;0;393;95;11;274;0;13
"B22";0;0;456;65;0;376;0;15
"B25";0;0;887;12;12;844;0;19
"B28";0;0;1045;3;24;1011;0;7
"B31";0;0;576;78;66;410;0;22
