A1;A4;A7;A10;A14;A17;A20;A23;A26;A29;A32;A35;A38;A41
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;Micrite;;;;;;;;Micrite;?;;
;;Micrite;;;;;;;;Micrite;Bryozoan;;Micrite
Sparite;;Micrite;;Micrite;;Micrite;;;;Micrite;Crinoid;;Micrite
Micrite;;Micrite;;Micrite;;Mollusc;;;;Micrite;Bryozoan;;Micrite
Micrite;;Micrite;;Micrite;Micrite;Echinoderm;;;;Micrite;?;;Crinoid
Micrite;;Micrite;;Micrite;Micrite;Micrite;;;;Micrite;Sparite;;Micrite
Micrite;;Micrite;;Micrite;Micrite;Micrite;;;;Micrite;Brachiopod;;Micrite
Micrite;;Micrite;;Micrite;?;Trilobite;;;;Micrite;Echinoderm;;Micrite
Micrite;;Micrite;;Micrite;Micrite;Micrite;;;;Micrite;Bryozoan;;Crinoid
Micrite;;Micrite;;Crinoid;Micrite;Micrite;;;;Micrite;Bryozoan;Sparite;Crinoid
Micrite;;Micrite;;Micrite;Micrite;Micrite;Gastropod;;;Micrite;Sparite;Echinoderm;Micrite
Micrite;;;;;Micrite;Micrite;Gastropod;;;Micrite;Brachiopod;Micrite;Micrite
Micrite;;;;;Micrite;Micrite;Gastropod;;;Micrite;Crinoid;Micrite;Crinoid
Micrite;;;;;Micrite;Micrite;Gastropod;;;Micrite;Crinoid;Micrite;Microbe
Micrite;;;;;Micrite;Micrite;Micrite;;;?;Crinoid;Micrite;Microbe
Crinoid;;;;;Micrite;Micrite;Gastropod;;;Micrite;Sparite;Crinoid;Microbe
Micrite;;;;;?;Micrite;Gastropod;;;Micrite;?;;Micrite
Micrite;;;;;Micrite;Micrite;Gastropod;;Micrite;Micrite;Crinoid;;Tabulate Coral
Micrite;Micrite;;;;Micrite;Micrite;Gastropod;;Micrite;;;;Tabulate Coral
Micrite;Micrite;;;;Micrite;Micrite;Micrite;;Micrite;;;;Tabulate Coral
Micrite;Micrite;;Micrite;;Micrite;Micrite;?;Micrite;Micrite;;;;Stromatoporoid
?;Micrite;;Micrite;;Micrite;Micrite;?;Micrite;Micrite;;;;Stromatoporoid
?;Micrite;;Micrite;;Micrite;Micrite;Micrite;Micrite;Micrite;;;;Stromatoporoid
Micrite;Micrite;;Micrite;;Micrite;Micrite;Micrite;Micrite;Micrite;;;;Stromatoporoid
;Micrite;;Micrite;;Micrite;;?;Micrite;Micrite;;;;Stromatoporoid
;Micrite;;Micrite;;Echinoderm;;;Micrite;Micrite;;;;Stromatoporoid
;Micrite;;?;;Bryozoan;;;Micrite;Micrite;;;;Stromatoporoid
;Micrite;;Micrite;;Micrite;;;Micrite;Micrite;;;;Stromatoporoid
;Micrite;;Micrite;;Micrite;;;Micrite;Micrite;;;;?
;Micrite;;Micrite;;Micrite;;;Micrite;Micrite;;;;Brachiopod
;Micrite;;Micrite;;Micrite;;;Micrite;Micrite;;;;Micrite
;?;;Micrite;;Micrite;;;Micrite;;;;;
;?;;Brachiopod;;;;;Micrite;;;;;
;;;Micrite;;;;;Micrite;;;;;
;;;Micrite;;;;;Micrite;;;;;
;;;Micrite;;;;;;;;;;
